id,time,F_x
0,0,3.1270749488915714
0,20,2.631128134147996
0,40,3.790100816425062
0,60,4.825577991344719
0,80,3.8599487513609403
0,100,4.130183932682983
0,120,4.542682728293791
0,140,4.903873554511735
0,160,4.228066817408697
0,180,2.5599478773509734
0,200,5.189126848423681
0,220,4.092230793038588
0,240,4.7260611504523204
0,260,4.371436007473891
0,280,4.499733493007119
0,300,7.825840084539084
0,320,10.905081465672417
0,340,15.226416505558209
0,360,18.73070027712703
0,380,22.08007301975023
0,400,27.484009245869267
0,420,30.833517282739926
0,440,35.86151357587648
0,460,38.37142917255939
0,480,41.474599766932826
0,500,42.43904385442376
0,520,43.39480776739676
0,540,42.85966080811294
0,560,42.51770965077385
0,580,43.731747572258186
0,600,43.57122927820075
0,620,42.788342839217
0,640,42.90569197058592
0,660,43.881812522159905
0,680,42.291669285279525
0,700,43.22188267139623
0,720,42.535766685558606
0,740,42.092788900565495
0,760,44.00822230529783
0,780,43.307070837068935
0,800,43.04739420501745
0,820,42.377446273929394
0,840,43.0757410767502
0,860,43.609963691409796
0,880,43.066172511497186
0,900,43.581336050129046
0,920,42.46330679055692
0,940,43.054313720050025
0,960,42.654078351632485
0,980,43.607249229447824
0,1000,43.08265371344342
0,1020,42.50786432505727
0,1040,43.4046489479287
0,1060,41.97551517300241
0,1080,42.20938348088074
0,1100,41.89778994186007
0,1120,42.299535500554526
0,1140,42.58395667227574
0,1160,43.53293385365707
0,1180,42.843870769470996
0,1200,42.42106329824471
0,1220,42.83293359893444
0,1240,43.02814157805233
0,1260,43.504841546648265
0,1280,42.335146135763715
0,1300,43.65822338192366
0,1320,42.740051491506776
0,1340,43.095400322695255
0,1360,43.269147425110056
0,1380,42.6083934471857
0,1400,42.935249636015904
0,1420,43.380401742019785
0,1440,43.82844068097688
0,1460,42.36094769206802
0,1480,41.3170663330648
0,1500,36.659640248374714
0,1520,34.27226262879134
0,1540,30.852247293207547
0,1560,27.148136531205616
0,1580,22.76754636164537
0,1600,19.771694828617864
0,1620,14.668736304317148
0,1640,9.67882522342485
0,1660,7.737470637060171
0,1680,5.3024137511517315
0,1700,4.343107590375204
0,1720,2.9707901688556766
0,1740,5.02101370985675
0,1760,4.259696869035016
0,1780,3.996505371676718
0,1800,3.342280207648539
0,1820,3.105281612577978
0,1840,4.267383578344441
0,1860,4.115208426122872
0,1880,5.160505827952234
0,1900,8.813139019737928
0,1920,11.722878955530328
0,1940,14.499970173841712
0,1960,18.185083997228507
0,1980,23.986239132333566
0,2000,26.788397120943884
0,2020,32.04038477826875
0,2040,34.84612282271395
0,2060,37.902918736188624
0,2080,40.713377223105866
0,2100,41.34930259878914
0,2120,44.081004758460075
0,2140,43.974390184055274
0,2160,43.46811311413131
0,2180,42.67424828123981
0,2200,41.879844212224896
0,2220,42.33815857774769
0,2240,42.60070821860808
0,2260,42.20788263029128
0,2280,41.693099554616474
0,2300,44.291193891511014
0,2320,43.974362218918095
0,2340,42.80656943346026
0,2360,42.073777799058746
0,2380,43.24809720177175
0,2400,43.76333515638453
0,2420,42.88177656242194
0,2440,42.31247316757736
0,2460,42.44935315269387
0,2480,42.65686364700296
0,2500,42.536831671856
0,2520,41.66760079192539
0,2540,42.875837466556085
0,2560,43.184435064465575
0,2580,42.46544723595538
0,2600,43.16720327670045
0,2620,42.1985715339497
0,2640,43.543864907414694
0,2660,42.676614839647826
0,2680,42.331969430935224
0,2700,43.65115462489337
0,2720,43.03597652765657
0,2740,42.2834143083415
0,2760,44.05937931993338
0,2780,43.3418783039888
0,2800,42.12048399272843
0,2820,41.89664745248169
0,2840,42.21217789375373
0,2860,43.11411908893365
0,2880,42.98127293870696
0,2900,42.79307484616978
0,2920,43.8524315311144
0,2940,42.03798203884895
0,2960,42.6788114579508
0,2980,42.6669884055877
0,3000,42.98057419954397
0,3020,43.19357387880236
0,3040,42.36054821499587
0,3060,42.4520739326211
0,3080,41.594652271605106
0,3100,36.858861238103714
0,3120,35.333901292500116
0,3140,31.625629648833623
0,3160,26.969368329183304
0,3180,22.199728981940346
0,3200,20.59629096556681
0,3220,15.188456741396863
0,3240,10.542452407291382
0,3260,6.480296374613949
0,3280,5.430073339345093
0,3300,4.908030493086522
0,3320,3.7124946886860517
0,3340,4.880081302557475
