Wall time,Step,Value
1591260731.4289272,0,3.1425130367279053
1591260832.0799274,12,2.8446056842803955
1591260951.93958,68,1.8754736185073853
1591261072.0406382,75,1.8416284322738647
1591261191.9979835,108,1.6855974197387695
1591261312.2058434,199,0.8505630493164062
1591261432.1396854,266,1.1265649795532227
1591261551.8872664,267,0.8877803087234497
1591261672.0794032,278,1.019099473953247
1591261792.091144,345,0.5786689519882202
1591261912.2759805,464,0.8575607538223267
1591262031.965703,570,0.6660486459732056
1591262152.1818404,759,0.7924754023551941
1591262271.9267392,773,0.8336243033409119
1591262391.945752,835,0.8584655523300171
1591262511.9642508,917,0.2941063344478607
1591262631.7573912,1111,0.5800665020942688
1591262751.9672692,1309,0.6575269103050232
1591262871.8716412,1483,0.40206092596054077
1591262991.9679928,1532,0.37071356177330017
1591263112.0444672,1702,0.24341417849063873
1591263232.3061678,1734,0.27386564016342163
1591263351.8409536,1932,0.29241353273391724
1591263471.9489524,2069,0.4872693717479706
1591263592.2559834,2196,0.28197920322418213
1591263712.0819526,2202,0.29854702949523926
1591263832.005664,2226,0.2747054398059845
1591263952.206966,2253,0.4129236042499542
1591264071.96955,2321,0.330946147441864
1591264191.623067,2518,0.6012686491012573
1591264312.0651174,2644,0.36933082342147827
1591264432.0001142,2664,0.24800029397010803
1591264551.999114,2791,0.18100091814994812
1591264671.9961126,2805,0.20759935677051544
1591264792.268315,3003,0.5097979307174683
1591264912.3983169,3045,0.40265125036239624
1591265032.2673166,3147,0.4446752965450287
1591265151.965964,3269,0.3042333722114563
1591265272.0519044,3276,0.3088434338569641
1591265392.0305927,3294,0.6422199606895447
1591265512.630091,3484,0.45841413736343384
1591265631.8723571,3497,0.5896217823028564
1591265751.9310408,3533,0.15525124967098236
1591265871.8940983,3581,0.35107338428497314
1591265992.174519,3780,0.3047645092010498
1591266112.3268638,3845,0.3575127124786377
1591266232.2466679,3921,0.3602023720741272
1591266352.3792686,3937,0.46200045943260193
1591266472.0645719,3982,0.6493569612503052
1591266591.976862,4177,0.2161610871553421
1591266712.1353045,4248,0.5450353622436523
1591266831.961159,4341,0.13220727443695068
1591266952.2427943,4539,0.38599061965942383
1591267071.9702075,4669,0.6247702836990356
1591267191.9882133,4693,0.39045098423957825
