feature,feature,type,p_value,relevant
F_x__partial_autocorrelation__lag_3,F_x__partial_autocorrelation__lag_3,real,1.936003540778879e-65,True
"F_x__fft_coefficient__coeff_39__attr_""abs""","F_x__fft_coefficient__coeff_39__attr_""abs""",real,2.5406322444830974e-65,True
"F_x__fft_coefficient__coeff_32__attr_""abs""","F_x__fft_coefficient__coeff_32__attr_""abs""",real,7.275941472840613e-65,True
"F_x__fft_coefficient__coeff_45__attr_""abs""","F_x__fft_coefficient__coeff_45__attr_""abs""",real,1.7216966380248202e-64,True
"F_x__fft_coefficient__coeff_71__attr_""abs""","F_x__fft_coefficient__coeff_71__attr_""abs""",real,3.9166220500770504e-63,True
"F_x__fft_coefficient__coeff_51__attr_""abs""","F_x__fft_coefficient__coeff_51__attr_""abs""",real,3.4858282331763153e-62,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",real,4.408326811532613e-62,True
"F_x__fft_coefficient__coeff_67__attr_""abs""","F_x__fft_coefficient__coeff_67__attr_""abs""",real,8.285408781952879e-62,True
F_x__minimum,F_x__minimum,real,2.6511505693447216e-61,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",real,1.7737457069715998e-59,True
"F_x__fft_coefficient__coeff_36__attr_""abs""","F_x__fft_coefficient__coeff_36__attr_""abs""",real,1.3728983670206838e-58,True
"F_x__fft_coefficient__coeff_65__attr_""abs""","F_x__fft_coefficient__coeff_65__attr_""abs""",real,2.9542496140420287e-58,True
"F_x__fft_coefficient__coeff_57__attr_""abs""","F_x__fft_coefficient__coeff_57__attr_""abs""",real,1.1524021508583541e-57,True
"F_x__fft_coefficient__coeff_79__attr_""abs""","F_x__fft_coefficient__coeff_79__attr_""abs""",real,1.2167170677424065e-57,True
"F_x__fft_coefficient__coeff_73__attr_""abs""","F_x__fft_coefficient__coeff_73__attr_""abs""",real,1.484198653733368e-57,True
"F_x__fft_coefficient__coeff_44__attr_""abs""","F_x__fft_coefficient__coeff_44__attr_""abs""",real,3.3431596383892677e-56,True
"F_x__fft_coefficient__coeff_40__attr_""abs""","F_x__fft_coefficient__coeff_40__attr_""abs""",real,3.515632348790273e-56,True
"F_x__fft_coefficient__coeff_50__attr_""abs""","F_x__fft_coefficient__coeff_50__attr_""abs""",real,1.1075628850284651e-55,True
"F_x__fft_coefficient__coeff_48__attr_""abs""","F_x__fft_coefficient__coeff_48__attr_""abs""",real,2.564859089478346e-55,True
"F_x__fft_coefficient__coeff_82__attr_""abs""","F_x__fft_coefficient__coeff_82__attr_""abs""",real,4.081463249068671e-54,True
"F_x__fft_coefficient__coeff_64__attr_""abs""","F_x__fft_coefficient__coeff_64__attr_""abs""",real,2.315044322319258e-53,True
"F_x__fft_coefficient__coeff_69__attr_""abs""","F_x__fft_coefficient__coeff_69__attr_""abs""",real,3.8012215074766425e-53,True
"F_x__fft_coefficient__coeff_74__attr_""abs""","F_x__fft_coefficient__coeff_74__attr_""abs""",real,5.776102304906061e-53,True
"F_x__fft_coefficient__coeff_89__attr_""abs""","F_x__fft_coefficient__coeff_89__attr_""abs""",real,1.6750026063755487e-52,True
"F_x__fft_coefficient__coeff_42__attr_""abs""","F_x__fft_coefficient__coeff_42__attr_""abs""",real,1.677809193626583e-52,True
"F_x__fft_coefficient__coeff_54__attr_""abs""","F_x__fft_coefficient__coeff_54__attr_""abs""",real,7.576961856614989e-52,True
"F_x__fft_coefficient__coeff_83__attr_""abs""","F_x__fft_coefficient__coeff_83__attr_""abs""",real,1.8473115383106075e-51,True
"F_x__fft_coefficient__coeff_58__attr_""abs""","F_x__fft_coefficient__coeff_58__attr_""abs""",real,2.846610265814372e-51,True
"F_x__fft_coefficient__coeff_97__attr_""abs""","F_x__fft_coefficient__coeff_97__attr_""abs""",real,2.9812308570932944e-51,True
"F_x__fft_coefficient__coeff_63__attr_""abs""","F_x__fft_coefficient__coeff_63__attr_""abs""",real,1.7041432890058959e-50,True
"F_x__fft_coefficient__coeff_86__attr_""abs""","F_x__fft_coefficient__coeff_86__attr_""abs""",real,2.2350790999818213e-50,True
"F_x__fft_coefficient__coeff_70__attr_""abs""","F_x__fft_coefficient__coeff_70__attr_""abs""",real,4.520888185363438e-50,True
"F_x__fft_coefficient__coeff_52__attr_""abs""","F_x__fft_coefficient__coeff_52__attr_""abs""",real,4.762923190028911e-50,True
F_x__approximate_entropy__m_2__r_0.3,F_x__approximate_entropy__m_2__r_0.3,real,1.1682655717268718e-49,True
F_x__approximate_entropy__m_2__r_0.5,F_x__approximate_entropy__m_2__r_0.5,real,1.6407966495210697e-49,True
"F_x__fft_coefficient__coeff_77__attr_""abs""","F_x__fft_coefficient__coeff_77__attr_""abs""",real,1.9903624133612566e-49,True
