feature,feature,type,p_value,relevant
"F_x__fft_coefficient__coeff_54__attr_""angle""","F_x__fft_coefficient__coeff_54__attr_""angle""",real,4.304601207515815e-06,True
F_x__first_location_of_minimum,F_x__first_location_of_minimum,real,4.461603574714211e-06,True
"F_x__fft_coefficient__coeff_83__attr_""real""","F_x__fft_coefficient__coeff_83__attr_""real""",real,4.667852305701994e-06,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_50__attr_""slope""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_50__attr_""slope""",real,6.973859738731064e-06,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2",real,7.640142186051061e-06,True
"F_x__fft_coefficient__coeff_76__attr_""angle""","F_x__fft_coefficient__coeff_76__attr_""angle""",real,7.71227229142259e-06,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_50__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_50__attr_""rvalue""",real,8.07505753809222e-06,True
"F_x__fft_coefficient__coeff_86__attr_""angle""","F_x__fft_coefficient__coeff_86__attr_""angle""",real,1.0801248806791524e-05,True
"F_x__fft_coefficient__coeff_13__attr_""angle""","F_x__fft_coefficient__coeff_13__attr_""angle""",real,1.1224891079936126e-05,True
"F_x__fft_coefficient__coeff_88__attr_""angle""","F_x__fft_coefficient__coeff_88__attr_""angle""",real,1.1812433459740958e-05,True
"F_x__fft_coefficient__coeff_38__attr_""angle""","F_x__fft_coefficient__coeff_38__attr_""angle""",real,1.3559046045223705e-05,True
F_x__symmetry_looking__r_0.35000000000000003,F_x__symmetry_looking__r_0.35000000000000003,binary,1.3963270710846338e-05,True
"F_x__fft_coefficient__coeff_1__attr_""angle""","F_x__fft_coefficient__coeff_1__attr_""angle""",real,1.3983812222902876e-05,True
"F_x__fft_coefficient__coeff_80__attr_""angle""","F_x__fft_coefficient__coeff_80__attr_""angle""",real,1.4736538929272156e-05,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",real,1.5160045694285069e-05,True
"F_x__fft_coefficient__coeff_94__attr_""angle""","F_x__fft_coefficient__coeff_94__attr_""angle""",real,2.4942314129560525e-05,True
"F_x__fft_coefficient__coeff_52__attr_""angle""","F_x__fft_coefficient__coeff_52__attr_""angle""",real,2.773440953489112e-05,True
F_x__autocorrelation__lag_7,F_x__autocorrelation__lag_7,real,2.7851000635182206e-05,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",real,2.972571758105841e-05,True
"F_x__fft_coefficient__coeff_85__attr_""real""","F_x__fft_coefficient__coeff_85__attr_""real""",real,3.00448243986978e-05,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",real,3.4375992535152525e-05,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",real,3.84230492914954e-05,True
"F_x__fft_coefficient__coeff_49__attr_""real""","F_x__fft_coefficient__coeff_49__attr_""real""",real,4.115438454439961e-05,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",real,4.2297685389652393e-05,True
"F_x__fft_coefficient__coeff_46__attr_""angle""","F_x__fft_coefficient__coeff_46__attr_""angle""",real,4.508369385971432e-05,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",real,4.633021750787417e-05,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",real,4.91440476966862e-05,True
"F_x__fft_coefficient__coeff_75__attr_""angle""","F_x__fft_coefficient__coeff_75__attr_""angle""",real,5.718610164711753e-05,True
"F_x__fft_coefficient__coeff_86__attr_""real""","F_x__fft_coefficient__coeff_86__attr_""real""",real,5.746925292983973e-05,True
"F_x__fft_coefficient__coeff_48__attr_""angle""","F_x__fft_coefficient__coeff_48__attr_""angle""",real,6.305455665079941e-05,True
"F_x__fft_coefficient__coeff_72__attr_""angle""","F_x__fft_coefficient__coeff_72__attr_""angle""",real,6.558117299884859e-05,True
F_x__time_reversal_asymmetry_statistic__lag_3,F_x__time_reversal_asymmetry_statistic__lag_3,real,6.616875231222198e-05,True
F_x__symmetry_looking__r_0.15000000000000002,F_x__symmetry_looking__r_0.15000000000000002,binary,6.712604625116022e-05,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",real,6.986158924325381e-05,True
"F_x__fft_coefficient__coeff_52__attr_""real""","F_x__fft_coefficient__coeff_52__attr_""real""",real,7.270988254465675e-05,True
"F_x__fft_coefficient__coeff_10__attr_""angle""","F_x__fft_coefficient__coeff_10__attr_""angle""",real,7.493440725829067e-05,True
"F_x__fft_coefficient__coeff_35__attr_""angle""","F_x__fft_coefficient__coeff_35__attr_""angle""",real,9.519495767299055e-05,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",real,9.6619395352578e-05,True
F_x__large_standard_deviation__r_0.30000000000000004,F_x__large_standard_deviation__r_0.30000000000000004,binary,0.0001078717222030486,True
"F_x__fft_coefficient__coeff_29__attr_""angle""","F_x__fft_coefficient__coeff_29__attr_""angle""",real,0.0001173704294938008,True
F_x__partial_autocorrelation__lag_5,F_x__partial_autocorrelation__lag_5,real,0.00012044937040970513,True
"F_x__fft_coefficient__coeff_57__attr_""angle""","F_x__fft_coefficient__coeff_57__attr_""angle""",real,0.00012920277296268767,True
F_x__absolute_sum_of_changes,F_x__absolute_sum_of_changes,real,0.00014509578402054516,True
"F_x__fft_coefficient__coeff_1__attr_""imag""","F_x__fft_coefficient__coeff_1__attr_""imag""",real,0.00014584043163753043,True
"F_x__fft_coefficient__coeff_79__attr_""angle""","F_x__fft_coefficient__coeff_79__attr_""angle""",real,0.00014917201042649104,True
"F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""intercept""","F_x__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""intercept""",real,0.0001573173651048951,True
"F_x__fft_coefficient__coeff_3__attr_""imag""","F_x__fft_coefficient__coeff_3__attr_""imag""",real,0.00016964042246073483,True
"F_x__fft_coefficient__coeff_41__attr_""angle""","F_x__fft_coefficient__coeff_41__attr_""angle""",real,0.0001892814299682288,True
"F_x__fft_coefficient__coeff_25__attr_""angle""","F_x__fft_coefficient__coeff_25__attr_""angle""",real,0.00019607085301058267,True
"F_x__fft_coefficient__coeff_68__attr_""angle""","F_x__fft_coefficient__coeff_68__attr_""angle""",real,0.00020462272692182808,True
"F_x__fft_coefficient__coeff_4__attr_""angle""","F_x__fft_coefficient__coeff_4__attr_""angle""",real,0.00021316841136399684,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept""",real,0.0002178378016385841,True
"F_x__fft_coefficient__coeff_37__attr_""angle""","F_x__fft_coefficient__coeff_37__attr_""angle""",real,0.0002205751896142152,True
"F_x__fft_coefficient__coeff_69__attr_""angle""","F_x__fft_coefficient__coeff_69__attr_""angle""",real,0.00022727715770156186,True
"F_x__fft_coefficient__coeff_36__attr_""angle""","F_x__fft_coefficient__coeff_36__attr_""angle""",real,0.00022898238000193448,True
"F_x__fft_coefficient__coeff_63__attr_""angle""","F_x__fft_coefficient__coeff_63__attr_""angle""",real,0.00025901585419358097,True
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",real,0.00027730973474490185,True
F_x__mean_second_derivative_central,F_x__mean_second_derivative_central,real,0.00029032919245276697,True
F_x__autocorrelation__lag_8,F_x__autocorrelation__lag_8,real,0.0003029294151010987,True
"F_x__fft_coefficient__coeff_14__attr_""angle""","F_x__fft_coefficient__coeff_14__attr_""angle""",real,0.00031991992456128885,True
"F_x__fft_coefficient__coeff_99__attr_""angle""","F_x__fft_coefficient__coeff_99__attr_""angle""",real,0.0003361571077082214,True
"F_x__fft_coefficient__coeff_81__attr_""angle""","F_x__fft_coefficient__coeff_81__attr_""angle""",real,0.0003547420551093073,True
"F_x__fft_coefficient__coeff_91__attr_""real""","F_x__fft_coefficient__coeff_91__attr_""real""",real,0.0003871330844075738,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",real,0.00038775954121217187,True
"F_x__fft_coefficient__coeff_11__attr_""angle""","F_x__fft_coefficient__coeff_11__attr_""angle""",real,0.00038963201867579637,True
"F_x__fft_coefficient__coeff_51__attr_""angle""","F_x__fft_coefficient__coeff_51__attr_""angle""",real,0.0004172496369417386,True
"F_x__fft_coefficient__coeff_78__attr_""angle""","F_x__fft_coefficient__coeff_78__attr_""angle""",real,0.000440507077832117,True
"F_x__fft_coefficient__coeff_50__attr_""angle""","F_x__fft_coefficient__coeff_50__attr_""angle""",real,0.00044208955282871743,True
"F_x__fft_coefficient__coeff_55__attr_""angle""","F_x__fft_coefficient__coeff_55__attr_""angle""",real,0.00044349941030094153,True
F_x__time_reversal_asymmetry_statistic__lag_2,F_x__time_reversal_asymmetry_statistic__lag_2,real,0.0004733431281251196,True
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",real,0.0004824260269326025,True
F_x__large_standard_deviation__r_0.45,F_x__large_standard_deviation__r_0.45,binary,0.0005465864689691849,True
"F_x__fft_coefficient__coeff_66__attr_""real""","F_x__fft_coefficient__coeff_66__attr_""real""",real,0.0005515680528849728,True
"F_x__fft_coefficient__coeff_95__attr_""angle""","F_x__fft_coefficient__coeff_95__attr_""angle""",real,0.0005673420943298355,True
"F_x__fft_coefficient__coeff_70__attr_""angle""","F_x__fft_coefficient__coeff_70__attr_""angle""",real,0.0005969082824120664,True
"F_x__fft_coefficient__coeff_60__attr_""angle""","F_x__fft_coefficient__coeff_60__attr_""angle""",real,0.0005985401543452531,True
"F_x__fft_coefficient__coeff_61__attr_""real""","F_x__fft_coefficient__coeff_61__attr_""real""",real,0.0006172449832288397,True
"F_x__fft_coefficient__coeff_27__attr_""angle""","F_x__fft_coefficient__coeff_27__attr_""angle""",real,0.0006201335976073864,True
"F_x__fft_coefficient__coeff_96__attr_""angle""","F_x__fft_coefficient__coeff_96__attr_""angle""",real,0.0007609822028130992,True
"F_x__fft_coefficient__coeff_91__attr_""angle""","F_x__fft_coefficient__coeff_91__attr_""angle""",real,0.0007780806584310771,True
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""rvalue""",real,0.0008978751146496612,True
F_x__quantile__q_0.1,F_x__quantile__q_0.1,real,0.0009409858734169541,True
"F_x__fft_coefficient__coeff_5__attr_""imag""","F_x__fft_coefficient__coeff_5__attr_""imag""",real,0.0010009507800350936,True
"F_x__fft_coefficient__coeff_74__attr_""angle""","F_x__fft_coefficient__coeff_74__attr_""angle""",real,0.0010804749776630244,True
"F_x__fft_coefficient__coeff_59__attr_""angle""","F_x__fft_coefficient__coeff_59__attr_""angle""",real,0.00108087999969481,True
"F_x__fft_coefficient__coeff_82__attr_""angle""","F_x__fft_coefficient__coeff_82__attr_""angle""",real,0.0011303635935089136,True
"F_x__fft_coefficient__coeff_77__attr_""angle""","F_x__fft_coefficient__coeff_77__attr_""angle""",real,0.001139660226154679,True
F_x__spkt_welch_density__coeff_8,F_x__spkt_welch_density__coeff_8,real,0.0012902429192598434,True
"F_x__fft_coefficient__coeff_9__attr_""angle""","F_x__fft_coefficient__coeff_9__attr_""angle""",real,0.0013007474974298194,True
"F_x__fft_coefficient__coeff_44__attr_""angle""","F_x__fft_coefficient__coeff_44__attr_""angle""",real,0.0013684607127407982,True
"F_x__linear_trend__attr_""rvalue""","F_x__linear_trend__attr_""rvalue""",real,0.0014299690955563889,True
"F_x__fft_coefficient__coeff_34__attr_""angle""","F_x__fft_coefficient__coeff_34__attr_""angle""",real,0.0014341589282441877,True
"F_x__fft_coefficient__coeff_6__attr_""angle""","F_x__fft_coefficient__coeff_6__attr_""angle""",real,0.0014842443653941273,True
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",real,0.0015493983528639213,True
"F_x__fft_coefficient__coeff_46__attr_""real""","F_x__fft_coefficient__coeff_46__attr_""real""",real,0.0016646698029131298,True
"F_x__fft_coefficient__coeff_90__attr_""imag""","F_x__fft_coefficient__coeff_90__attr_""imag""",real,0.0017258347647081784,True
"F_x__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""","F_x__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept""",real,0.0017955092000710117,True
F_x__autocorrelation__lag_9,F_x__autocorrelation__lag_9,real,0.0019069151374364263,True
F_x__ar_coefficient__k_10__coeff_3,F_x__ar_coefficient__k_10__coeff_3,real,0.001955180495827679,True
"F_x__fft_coefficient__coeff_96__attr_""real""","F_x__fft_coefficient__coeff_96__attr_""real""",real,0.0021596502973242424,True
"F_x__fft_coefficient__coeff_43__attr_""real""","F_x__fft_coefficient__coeff_43__attr_""real""",real,0.0023371777039062447,True
"F_x__fft_coefficient__coeff_15__attr_""angle""","F_x__fft_coefficient__coeff_15__attr_""angle""",real,0.0023371777039062447,True
"F_x__fft_coefficient__coeff_58__attr_""angle""","F_x__fft_coefficient__coeff_58__attr_""angle""",real,0.0023652598606003,True
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""rvalue""",real,0.0025033543218181305,True
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",real,0.0025138713444912675,True
"F_x__fft_coefficient__coeff_83__attr_""angle""","F_x__fft_coefficient__coeff_83__attr_""angle""",real,0.002671901062656682,True
F_x__mean,F_x__mean,real,0.0027538066154351158,True
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""rvalue""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""rvalue""",real,0.0027652813088179136,True
"F_x__fft_coefficient__coeff_32__attr_""angle""","F_x__fft_coefficient__coeff_32__attr_""angle""",real,0.0029184793628928593,True
"F_x__fft_coefficient__coeff_41__attr_""real""","F_x__fft_coefficient__coeff_41__attr_""real""",real,0.0032639127440499457,False
"F_x__fft_coefficient__coeff_19__attr_""angle""","F_x__fft_coefficient__coeff_19__attr_""angle""",real,0.003456110822628572,False
"F_x__fft_aggregated__aggtype_""kurtosis""","F_x__fft_aggregated__aggtype_""kurtosis""",real,0.0035608456828774148,False
"F_x__fft_coefficient__coeff_8__attr_""angle""","F_x__fft_coefficient__coeff_8__attr_""angle""",real,0.0037334320751647443,False
"F_x__fft_coefficient__coeff_94__attr_""imag""","F_x__fft_coefficient__coeff_94__attr_""imag""",real,0.0037485456976980155,False
"F_x__fft_coefficient__coeff_97__attr_""angle""","F_x__fft_coefficient__coeff_97__attr_""angle""",real,0.0038405710502821405,False
F_x__median,F_x__median,real,0.0038769380317369047,False
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""slope""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""slope""",real,0.0038952242843220118,False
"F_x__linear_trend__attr_""slope""","F_x__linear_trend__attr_""slope""",real,0.003903085204948785,False
F_x__c3__lag_3,F_x__c3__lag_3,real,0.003929392452119642,False
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""slope""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""slope""",real,0.003971819153391847,False
F_x__symmetry_looking__r_0.4,F_x__symmetry_looking__r_0.4,binary,0.003981725820946162,False
"F_x__fft_coefficient__coeff_40__attr_""angle""","F_x__fft_coefficient__coeff_40__attr_""angle""",real,0.004511400895083807,False
"F_x__fft_coefficient__coeff_79__attr_""real""","F_x__fft_coefficient__coeff_79__attr_""real""",real,0.004582177195471802,False
F_x__quantile__q_0.2,F_x__quantile__q_0.2,real,0.004678647652194826,False
"F_x__fft_coefficient__coeff_26__attr_""angle""","F_x__fft_coefficient__coeff_26__attr_""angle""",real,0.004938433567943332,False
"F_x__fft_coefficient__coeff_71__attr_""angle""","F_x__fft_coefficient__coeff_71__attr_""angle""",real,0.004961199588043344,False
"F_x__fft_coefficient__coeff_97__attr_""real""","F_x__fft_coefficient__coeff_97__attr_""real""",real,0.0051771841598060595,False
F_x__c3__lag_2,F_x__c3__lag_2,real,0.00519758225668551,False
"F_x__fft_coefficient__coeff_71__attr_""real""","F_x__fft_coefficient__coeff_71__attr_""real""",real,0.005380611868951978,False
F_x__time_reversal_asymmetry_statistic__lag_1,F_x__time_reversal_asymmetry_statistic__lag_1,real,0.0053946637051016716,False
"F_x__fft_coefficient__coeff_16__attr_""angle""","F_x__fft_coefficient__coeff_16__attr_""angle""",real,0.005623969504732086,False
"F_x__fft_coefficient__coeff_4__attr_""imag""","F_x__fft_coefficient__coeff_4__attr_""imag""",real,0.005678969228961706,False
"F_x__fft_coefficient__coeff_39__attr_""angle""","F_x__fft_coefficient__coeff_39__attr_""angle""",real,0.0059536222897922705,False
"F_x__fft_coefficient__coeff_49__attr_""imag""","F_x__fft_coefficient__coeff_49__attr_""imag""",real,0.006746921808963028,False
"F_x__fft_coefficient__coeff_66__attr_""angle""","F_x__fft_coefficient__coeff_66__attr_""angle""",real,0.006842138040649634,False
"F_x__fft_coefficient__coeff_94__attr_""real""","F_x__fft_coefficient__coeff_94__attr_""real""",real,0.007063002843415578,False
"F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8","F_x__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",real,0.007098982166665598,False
"F_x__fft_coefficient__coeff_74__attr_""real""","F_x__fft_coefficient__coeff_74__attr_""real""",real,0.0071124939547683634,False
"F_x__fft_coefficient__coeff_45__attr_""real""","F_x__fft_coefficient__coeff_45__attr_""real""",real,0.007481594308928362,False
F_x__c3__lag_1,F_x__c3__lag_1,real,0.00766768153534357,False
"F_x__fft_coefficient__coeff_31__attr_""angle""","F_x__fft_coefficient__coeff_31__attr_""angle""",real,0.007784248430081521,False
"F_x__fft_coefficient__coeff_81__attr_""real""","F_x__fft_coefficient__coeff_81__attr_""real""",real,0.007786679255996897,False
"F_x__fft_coefficient__coeff_42__attr_""angle""","F_x__fft_coefficient__coeff_42__attr_""angle""",real,0.007872712929369087,False
"F_x__fft_coefficient__coeff_87__attr_""real""","F_x__fft_coefficient__coeff_87__attr_""real""",real,0.007934660703997275,False
F_x__symmetry_looking__r_0.1,F_x__symmetry_looking__r_0.1,binary,0.008105647769447461,False
"F_x__fft_coefficient__coeff_54__attr_""imag""","F_x__fft_coefficient__coeff_54__attr_""imag""",real,0.008238216226361311,False
F_x__quantile__q_0.4,F_x__quantile__q_0.4,real,0.008318301334326948,False
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""intercept""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""intercept""",real,0.008417419668252223,False
"F_x__fft_coefficient__coeff_98__attr_""real""","F_x__fft_coefficient__coeff_98__attr_""real""",real,0.008780817427005984,False
"F_x__fft_coefficient__coeff_76__attr_""real""","F_x__fft_coefficient__coeff_76__attr_""real""",real,0.00910468285713294,False
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",real,0.009135686085824744,False
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",real,0.009249160996418114,False
"F_x__fft_coefficient__coeff_7__attr_""angle""","F_x__fft_coefficient__coeff_7__attr_""angle""",real,0.009567729588637863,False
"F_x__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10","F_x__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",real,0.00970978132859339,False
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""intercept""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""intercept""",real,0.009889987779464031,False
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",real,0.009914239084518963,False
"F_x__linear_trend__attr_""pvalue""","F_x__linear_trend__attr_""pvalue""",real,0.00992638459227892,False
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",real,0.010122523523590197,False
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""intercept""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""intercept""",real,0.010234361640126876,False
"F_x__linear_trend__attr_""intercept""","F_x__linear_trend__attr_""intercept""",real,0.010265622361625454,False
"F_x__fft_aggregated__aggtype_""centroid""","F_x__fft_aggregated__aggtype_""centroid""",real,0.010442258084407637,False
"F_x__fft_coefficient__coeff_33__attr_""angle""","F_x__fft_coefficient__coeff_33__attr_""angle""",real,0.011162644472793838,False
"F_x__fft_coefficient__coeff_47__attr_""imag""","F_x__fft_coefficient__coeff_47__attr_""imag""",real,0.011264224215937908,False
"F_x__fft_coefficient__coeff_53__attr_""real""","F_x__fft_coefficient__coeff_53__attr_""real""",real,0.011668271667477388,False
"F_x__fft_coefficient__coeff_43__attr_""angle""","F_x__fft_coefficient__coeff_43__attr_""angle""",real,0.012020147217068308,False
F_x__quantile__q_0.6,F_x__quantile__q_0.6,real,0.012481573986725279,False
F_x__partial_autocorrelation__lag_6,F_x__partial_autocorrelation__lag_6,real,0.012943229398875569,False
"F_x__fft_coefficient__coeff_45__attr_""imag""","F_x__fft_coefficient__coeff_45__attr_""imag""",real,0.013435815242837854,False
"F_x__fft_coefficient__coeff_21__attr_""imag""","F_x__fft_coefficient__coeff_21__attr_""imag""",real,0.013539497889648923,False
"F_x__fft_coefficient__coeff_84__attr_""imag""","F_x__fft_coefficient__coeff_84__attr_""imag""",real,0.013655955261900736,False
"F_x__fft_coefficient__coeff_17__attr_""angle""","F_x__fft_coefficient__coeff_17__attr_""angle""",real,0.014693072237878798,False
"F_x__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""intercept""","F_x__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""intercept""",real,0.014935660968130452,False
"F_x__fft_coefficient__coeff_8__attr_""imag""","F_x__fft_coefficient__coeff_8__attr_""imag""",real,0.015128734906681388,False
"F_x__fft_coefficient__coeff_80__attr_""real""","F_x__fft_coefficient__coeff_80__attr_""real""",real,0.015346308883274337,False
"F_x__fft_coefficient__coeff_69__attr_""real""","F_x__fft_coefficient__coeff_69__attr_""real""",real,0.015913951853164226,False
"F_x__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""","F_x__augmented_dickey_fuller__autolag_""AIC""__attr_""pvalue""",real,0.019021464899470583,False
"F_x__augmented_dickey_fuller__autolag_""AIC""__attr_""teststat""","F_x__augmented_dickey_fuller__autolag_""AIC""__attr_""teststat""",real,0.019021492979304173,False
"F_x__fft_coefficient__coeff_51__attr_""real""","F_x__fft_coefficient__coeff_51__attr_""real""",real,0.020042748672702594,False
"F_x__fft_coefficient__coeff_22__attr_""imag""","F_x__fft_coefficient__coeff_22__attr_""imag""",real,0.020161646492499526,False
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",real,0.021420755466749316,False
"F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8","F_x__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",real,0.0217702976587442,False
F_x__quantile__q_0.3,F_x__quantile__q_0.3,real,0.021782438862534125,False
"F_x__fft_coefficient__coeff_47__attr_""real""","F_x__fft_coefficient__coeff_47__attr_""real""",real,0.022100185107541213,False
"F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","F_x__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",real,0.023269967718123882,False
F_x__longest_strike_below_mean,F_x__longest_strike_below_mean,real,0.02347598016964734,False
"F_x__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""stderr""","F_x__agg_linear_trend__f_agg_""max""__chunk_len_50__attr_""stderr""",real,0.023723931097624752,False
"F_x__fft_coefficient__coeff_99__attr_""real""","F_x__fft_coefficient__coeff_99__attr_""real""",real,0.025352929835035426,False
"F_x__fft_coefficient__coeff_47__attr_""angle""","F_x__fft_coefficient__coeff_47__attr_""angle""",real,0.02536690427893022,False
"F_x__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_2","F_x__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_11__w_2",real,0.025533705009387054,False
"F_x__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""intercept""","F_x__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""intercept""",real,0.02608237720160055,False
"F_x__fft_coefficient__coeff_89__attr_""imag""","F_x__fft_coefficient__coeff_89__attr_""imag""",real,0.02637481173460004,False
"F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0","F_x__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",real,0.026699108321034306,False
"F_x__fft_coefficient__coeff_56__attr_""imag""","F_x__fft_coefficient__coeff_56__attr_""imag""",real,0.02722508734576438,False
"F_x__fft_coefficient__coeff_88__attr_""imag""","F_x__fft_coefficient__coeff_88__attr_""imag""",real,0.029301417022283435,False
"F_x__fft_coefficient__coeff_53__attr_""angle""","F_x__fft_coefficient__coeff_53__attr_""angle""",real,0.029301454534186235,False
F_x__large_standard_deviation__r_0.25,F_x__large_standard_deviation__r_0.25,binary,0.030254881951860227,False
F_x__friedrich_coefficients__m_3__r_30__coeff_1,F_x__friedrich_coefficients__m_3__r_30__coeff_1,real,0.03034526359424659,False
"F_x__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""intercept""","F_x__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""intercept""",real,0.0304424575295693,False
"F_x__fft_coefficient__coeff_92__attr_""real""","F_x__fft_coefficient__coeff_92__attr_""real""",real,0.031512510673053495,False
"F_x__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""slope""","F_x__agg_linear_trend__f_agg_""mean""__chunk_len_50__attr_""slope""",real,0.03375010305035188,False
F_x__abs_energy,F_x__abs_energy,real,0.03462801916616851,False
