loss,acc,mean_squared_error,val_loss,val_acc,val_mean_squared_error
0.5431819148700345,0.7090908885002136,8.601889610290527,0.17752569160339507,0.9599999785423279,16.373971939086914
0.26318102274301713,0.9077273011207581,27.060970306396484,0.1736883666874333,0.9259091019630432,33.15427017211914
0.24090923469682987,0.9140909314155579,44.62242126464844,0.13709997675296934,0.9704545736312866,56.320743560791016
0.2296138675714081,0.921818196773529,60.28236389160156,0.10426981693387709,0.9736363887786865,131.4663848876953
0.21898547159719534,0.9254545569419861,80.52406311035156,0.14460734430361877,0.9472727179527283,104.83019256591797
0.20922126951204104,0.9195454716682434,101.95982360839844,0.12843996622514994,0.9649999737739563,110.841552734375
0.19511546937494792,0.928636372089386,129.835205078125,0.1286310528828339,0.9545454382896423,144.64669799804688
0.16508073166160928,0.9350000023841858,171.95928955078125,0.11176864399458282,0.9563636183738708,432.3549499511719
0.14604533715084306,0.9449999928474426,243.75437927246094,0.1592919607879594,0.9368181824684143,224.0786590576172
0.11077857396164538,0.9559090733528137,423.15155029296875,0.17858392717316746,0.9213636517524719,417.4210205078125
