Wall time,Step,Value
1591260731.4289272,0,11.646026611328125
1591260832.0799274,12,5.6020026206970215
1591260951.93958,68,4.546508312225342
1591261072.0406382,75,4.633105278015137
1591261191.9979835,108,4.7496867179870605
1591261312.2058434,199,3.7483866214752197
1591261432.1396854,266,4.300398826599121
1591261551.8872664,267,3.638777017593384
1591261672.0794032,278,3.649444341659546
1591261792.091144,345,3.149027109146118
1591261912.2759805,464,3.992393970489502
1591262031.965703,570,3.226348876953125
1591262152.1818404,759,3.6465699672698975
1591262271.9267392,773,3.567488670349121
1591262391.945752,835,3.9774301052093506
1591262511.9642508,917,2.831897497177124
1591262631.7573912,1111,2.90059494972229
1591262751.9672692,1309,4.265556812286377
1591262871.8716412,1483,2.8106417655944824
1591262991.9679928,1532,2.221092700958252
1591263112.0444672,1702,2.5842394828796387
1591263232.3061678,1734,2.5353715419769287
1591263351.8409536,1932,2.7993273735046387
1591263471.9489524,2069,3.187621593475342
1591263592.2559834,2196,2.196100950241089
1591263712.0819526,2202,3.106616497039795
1591263832.005664,2226,2.882276773452759
1591263952.206966,2253,2.2109053134918213
1591264071.96955,2321,2.834644079208374
1591264191.623067,2518,3.687098741531372
1591264312.0651174,2644,2.4732561111450195
1591264432.0001142,2664,1.9738123416900635
1591264551.999114,2791,2.186075448989868
1591264671.9961126,2805,2.04256272315979
1591264792.268315,3003,2.47965931892395
1591264912.3983169,3045,2.3992538452148438
1591265032.2673166,3147,2.564427375793457
1591265151.965964,3269,2.353228807449341
1591265272.0519044,3276,1.9873368740081787
1591265392.0305927,3294,3.358717918395996
1591265512.630091,3484,2.2423970699310303
1591265631.8723571,3497,2.9118764400482178
1591265751.9310408,3533,2.198188543319702
1591265871.8940983,3581,1.938735008239746
1591265992.174519,3780,1.931918978691101
1591266112.3268638,3845,2.2373480796813965
1591266232.2466679,3921,2.0165984630584717
1591266352.3792686,3937,1.7595484256744385
1591266472.0645719,3982,3.2340619564056396
1591266591.976862,4177,1.9839907884597778
1591266712.1353045,4248,2.83953595161438
1591266831.961159,4341,1.6811901330947876
1591266952.2427943,4539,1.5752843618392944
1591267071.9702075,4669,3.8481109142303467
1591267191.9882133,4693,2.9706201553344727
1591267312.025394,4759,1.7843250036239624
1591267432.2005508,4772,3.7110908031463623
1591267551.9424288,4830,1.8449140787124634
1591267671.9740257,4924,1.83501398563385
1591267792.3131747,4945,2.2379634380340576
1591267912.880341,4975,2.9900269508361816
1591268032.3697693,5012,2.828577995300293
1591268151.8952544,5030,1.8644416332244873
1591268272.0343597,5152,2.9195313453674316
1591268391.9515162,5157,2.137176036834717
1591268512.0239375,5160,2.299837589263916
1591268632.0569265,5239,2.1176106929779053
1591268752.027748,5312,3.144138813018799
1591268872.09758,5505,3.569239854812622
1591268992.1097927,5549,3.2544543743133545
1591269112.4642248,5648,1.9488989114761353
1591269231.9767408,5704,3.116542100906372
1591269351.86508,5900,2.2555880546569824
1591269472.0117173,5922,1.6824123859405518
1591269591.9036663,6074,2.851675271987915
1591269712.2280784,6082,2.2405595779418945
1591269831.968962,6191,2.390847682952881
1591269952.075966,6269,2.7601616382598877
1591270072.033317,6326,1.3674246072769165
1591270192.0434108,6399,1.5534048080444336
1591270312.631496,6478,2.037360191345215
1591270431.968886,6516,2.5688138008117676
1591270552.043,6694,2.9429643154144287
1591270672.356703,6892,1.7902506589889526
1591270792.057767,7091,1.9885437488555908
1591270912.13867,7109,2.3534488677978516
1591271031.843536,7190,2.555006265640259
1591271152.2536974,7201,1.5177079439163208
1591271272.2640357,7241,2.413621664047241
1591271392.1473956,7302,1.5162162780761719
1591271512.1498163,7377,2.2188374996185303
1591271632.0252645,7573,3.381521463394165
1591271751.9939017,7651,2.1071529388427734
1591271872.1042345,7686,1.713259220123291
1591271992.2101736,7722,3.608020544052124
1591272112.1602976,7740,2.9782755374908447
1591272232.0513763,7753,2.543414354324341
1591272352.0626943,7796,1.3008732795715332
1591272472.3705535,7911,2.6706347465515137
1591272592.1682765,7964,1.3520722389221191
1591272712.9002657,8067,2.6824638843536377
1591272832.01691,8131,1.9480029344558716
1591272951.9739714,8142,1.5688387155532837
